"","type"
"699","BINDS_CbG"
"700","BINDS_CbG"
"701","BINDS_CbG"
"702","BINDS_CbG"
"703","BINDS_CbG"
"704","BINDS_CbG"
"705","BINDS_CbG"
"706","BINDS_CbG"
"707","BINDS_CbG"
"708","BINDS_CbG"
"709","BINDS_CbG"
"710","BINDS_CbG"
"711","BINDS_CbG"
"712","BINDS_CbG"
"713","BINDS_CbG"
"714","BINDS_CbG"
"715","BINDS_CbG"
"716","BINDS_CbG"
"717","BINDS_CbG"
"718","BINDS_CbG"
"719","BINDS_CbG"
"720","BINDS_CbG"
"721","BINDS_CbG"
"722","BINDS_CbG"
"723","BINDS_CbG"
"724","BINDS_CbG"
"725","BINDS_CbG"
"726","BINDS_CbG"
"727","BINDS_CbG"
"728","BINDS_CbG"
"729","BINDS_CbG"
"730","BINDS_CbG"
"731","BINDS_CbG"
"732","BINDS_CbG"
"733","BINDS_CbG"
"734","BINDS_CbG"
"735","BINDS_CbG"
"736","BINDS_CbG"
"737","BINDS_CbG"
"738","BINDS_CbG"
"739","BINDS_CbG"
"740","BINDS_CbG"
"741","BINDS_CbG"
"742","BINDS_CbG"
"743","BINDS_CbG"
"744","BINDS_CbG"
"745","BINDS_CbG"
"746","BINDS_CbG"
"747","BINDS_CbG"
"748","BINDS_CbG"
"749","BINDS_CbG"
"750","BINDS_CbG"
"751","BINDS_CbG"
"752","BINDS_CbG"
"753","BINDS_CbG"
"754","BINDS_CbG"
"755","BINDS_CbG"
"756","BINDS_CbG"
"757","BINDS_CbG"
"758","BINDS_CbG"
"759","BINDS_CbG"
"760","BINDS_CbG"
"761","BINDS_CbG"
"762","BINDS_CbG"
"763","BINDS_CbG"
"764","BINDS_CbG"
"765","BINDS_CbG"
"766","BINDS_CbG"
"767","BINDS_CbG"
"768","BINDS_CbG"
"769","BINDS_CbG"
"770","BINDS_CbG"
"771","BINDS_CbG"
"772","BINDS_CbG"
"773","BINDS_CbG"
"774","BINDS_CbG"
"775","BINDS_CbG"
"776","BINDS_CbG"
"777","PARTICIPATES_GpPW"
"778","PARTICIPATES_GpPW"
"779","PARTICIPATES_GpPW"
"780","PARTICIPATES_GpPW"
"781","PARTICIPATES_GpPW"
"782","PARTICIPATES_GpPW"
"783","PARTICIPATES_GpPW"
"784","PARTICIPATES_GpPW"
"785","PARTICIPATES_GpPW"
"786","PARTICIPATES_GpPW"
"787","PARTICIPATES_GpPW"
"788","EXPRESSES_AeG"
"789","PARTICIPATES_GpBP"
"790","PARTICIPATES_GpPW"
"791","PARTICIPATES_GpPW"
"792","PARTICIPATES_GpPW"
"793","PARTICIPATES_GpPW"
"794","PARTICIPATES_GpPW"
"795","PARTICIPATES_GpPW"
"796","PARTICIPATES_GpPW"
"797","PARTICIPATES_GpPW"
"798","PARTICIPATES_GpPW"
"799","PARTICIPATES_GpPW"
"800","PARTICIPATES_GpPW"
"801","PARTICIPATES_GpPW"
"802","BINDS_CbG"
"803","PARTICIPATES_GpPW"
"804","PARTICIPATES_GpPW"
"805","PARTICIPATES_GpPW"
"806","PARTICIPATES_GpPW"
"807","PARTICIPATES_GpPW"
"808","PARTICIPATES_GpPW"
"809","PARTICIPATES_GpPW"
"810","PARTICIPATES_GpPW"
"811","PARTICIPATES_GpPW"
"812","PARTICIPATES_GpPW"
"813","PARTICIPATES_GpPW"
"814","PARTICIPATES_GpPW"
"815","PARTICIPATES_GpPW"
"816","PARTICIPATES_GpPW"
"817","PARTICIPATES_GpPW"
"818","PARTICIPATES_GpPW"
"819","PARTICIPATES_GpPW"
"820","PARTICIPATES_GpPW"
"821","BINDS_CbG"
"822","BINDS_CbG"
"823","BINDS_CbG"
"824","BINDS_CbG"
"825","BINDS_CbG"
"826","BINDS_CbG"
"827","BINDS_CbG"
"828","BINDS_CbG"
"829","BINDS_CbG"
"830","BINDS_CbG"
"831","BINDS_CbG"
"832","BINDS_CbG"
"833","BINDS_CbG"
"834","BINDS_CbG"
"835","BINDS_CbG"
"836","BINDS_CbG"
"837","BINDS_CbG"
"838","BINDS_CbG"
"839","BINDS_CbG"
"840","BINDS_CbG"
"841","BINDS_CbG"
"842","BINDS_CbG"
"843","BINDS_CbG"
"844","BINDS_CbG"
"845","BINDS_CbG"
"846","BINDS_CbG"
"847","BINDS_CbG"
"848","BINDS_CbG"
"849","BINDS_CbG"
"850","BINDS_CbG"
"851","BINDS_CbG"
